Naziv,Adresa,Mjesto,ePosta,Telefon,Zupanija,PostanskiBroj
"Dječji vrtić ""Ivančice""",Akademika Ladislava Šabana 19,Ivanec,info@vrtic-ivancice.hr,"042/202-118, 042/782-328",Varaždinska županija ,42240
"Dječji vrtić ""Radost""",A. Šenoe 4,Ludbreg,radostludbreg@gmail.com,042/810-633,Varaždinska županija ,42230
"Dječji vrtić ""Tratinčica""",Braće Radića 14,Varaždinske Toplice,tratincicavt@gmail.com,042/633-164,Varaždinska županija ,42223
"Dječji vrtić ""Novi Marof""",OTONA IVEKOVIĆA 12,Novi Marof,ravnateljica@vrtic.novi-marof.hr,042611271,Varaždinska županija ,42220
"Dječji vrtić ""Bubamara""",Ulica učitelja Vjekoslava Kezele 8,Gornji Kneginec,bubamara.kneginec1@gmail.com,042/690-661,Varaždinska županija ,42204
"Dječji vrtić ""Latica"" Klenovnik",Klenovnik 32,Klenovnik, vrtic.latica@gmail.com,042/763-333,Varaždinska županija ,42240
"Dječji vrtić ""Lepoglava""",Trg kralja Tomislava 13,Lepoglava,djecjivrticlepoglava@gmail.com,042/791-043,Varaždinska županija ,42250
Dječji vrtić- Vrtić Panda,Hercegovačka 29,Varaždin,panda@vz.t-com.hr,042/233-285,Varaždinska županija ,42000
"Dječji vrtić ""Dječji svijet""",Franje Galinca 2,Varaždin,vrticdjecjisvijet@gmail.com,042/351-052,Varaždinska županija ,42000
"Dječji vrtić ""Zečić""",Plitvička 3,Varaždin,dvzecic@net.hr,042/240-270,Varaždinska županija ,42000
"Dječji vrtić ""Zeko""",J.Križanića 96,Varaždin, info@zeko.hr; djecji-vrtic-zeko@vz.t-com.hr,"042/260-713, 042/206-550",Varaždinska županija ,42000
"Dječji vrtić ""Iskrica""",Braće Radića 14,Ludbreg,iskrica.ravnatelj@gmail.com,042/811-041,Varaždinska županija ,42230
"Dječji vrtić ""Bajka""",Široke ledine 16,Varaždin,info@vrticbajka.eu,+38542233616,Varaždinska županija ,42000
"Dječji vrtić ""Maja Pčelica""",Vladimira Nazora 138,Donje Ladanje,maja.pcelica@vz.t-com.hr,042/727-610,Varaždinska županija ,42243
Dječji vrtić Škrinjica,ULICA VLADIMIRA NAZORA 11,Vidovec,dvskrinjica@gmail.com,042741766,Varaždinska županija ,42205
"Dječji vrtić ""Pinokio""",Ul. Ivana Trnskog 21,Varaždin,info@dvpinokio.hr,042/206-276,Varaždinska županija ,42000
"Dječji vrtić ""Smjehuljica""",A. Nemčića 13,Ludbreg,dv.smjehuljica@gmail.com,042/810-691,Varaždinska županija ,42230
"Dječji vrtić ""Anđeo""",Trg Josipa Godrijana,Sveti Ilija,djecji.vrtic.andjeo@vz.t-com.hr,042/734-443,Varaždinska županija ,42204
"Dječji vrtić ""Kosjenka""",Marije Jurić Zagorke 13,Vinkovci,dvkosjenka@gmail.com,"099/857-91-59, 095/2100-519, ",Vukovarsko-srijemska  županija ,32100
Kraći program predškolskog odgoja pri Osnovnoj školi Novi Marof-osnovno glazbeno obrazovanje,Zagorska 30,Novi Marof,logozardragan@gmail.com,042/611-094,Varaždinska županija ,42220
"Dječji vrtić ""Bambi""",Zagorska ulica 71,Novi Marof,vrticbambici@gmail.com,042 711 245,Varaždinska županija ,42220
"Dječji vrtić ""Tratinčica""",Trg podravskih heroja 7,Koprivnica,ravnateljica@tratincica.hr,048/621-358 ,Koprivničko-križevačka županija ,48000
Dječji vrtić Vrapčić,Mihovila Pavleka Miškine 1,Đelekovec,dv.vrapcic5@optinet.hr,048-831-492,Koprivničko-križevačka županija ,48316
"Dječji vrtić ""Fijolica""",Gajeva bb,Novigrad Podravski,vrtic.fijolica2@gmail.com,048/832-862,Koprivničko-križevačka županija ,48350
"Dječji vrtić ""Maslačak""",Tina Ujevića 1,Đurđevac,vrtic.maslacak@djurdjevac.hr,"048/811-703,",Koprivničko-križevačka županija ,48350
"Dječji vrtić ""Košutica""",Trg slobode 36,Ferdinandovac,dv.kosutica@gmail.com,048/817-660,Koprivničko-križevačka županija ,48350
"Dječji vrtić ""Bubamara""",Kolodvorska ulica bb,Kalinovac,djecji.vrtic.bubamara@kc.t-com.hr,048 883 273 098 983 2155,Koprivničko-križevačka županija ,48350
"Dječji vrtić ""Pčelica""",Trg kralja Tomislava,Molve,djecji.vrtic.pcelica1@kc.t-com.hr,048/892-115,Koprivničko-križevačka županija ,48327
"Dječji vrtić ""ZRNO""",Frana Lugarića 50,Virje,dv.zrno.virje@gmail.com,048/897-128,Koprivničko-križevačka županija ,48350
"Dječji vrtić ""Križevci""",Matije Gupca 52,Križevci,vrtic@krizevci.hr,048/681-309,Koprivničko-križevačka županija ,48260
"Dječji vrtić ""Vladimir Nazor""",Ljudevita Gaja 46/1,Daruvar, tajnistvo@dvvn.hr; ravnateljica@dvvn.hr,043/331-417,Bjelovarsko-bilogorska županija ,43500
Kraći program pri Udruzi Kud Palična,Severin bb,Severin,kud@kud-palicna.hr,0911266667,Bjelovarsko-bilogorska županija ,43000
"Dječji vrtić ""Zraka Sunca""",Potočka 55,Križevci,zraka-sunca@kc.htnet.hr,048/718-657,Koprivničko-križevačka županija ,48260
Program predškolskog odgoja pri COOR Podravsko sunce,Hercegovačka 1,Koprivnica,ravnatelj@centar-podravskosunce-koprivnica.skole.hr; ured@centar-podravskosunce-koprivnica.skole.hr,048/240-341,Koprivničko-križevačka županija ,48000
Program predškole pri OŠ Berek,Berek 73,Berek,ured@os-berek.skole.hr,043/548-900,Bjelovarsko-bilogorska županija ,43232
Program predškole pri OŠ Grigora Viteza,Trg Karla Lukaša 7,Sveti Ivan Žabno,ured@os-gvitez-zabno.skole.hr,048/851-408,Koprivničko-križevačka županija ,48214
Kraći program predškolskog odgoja pri Glazbenoj školi Alberta Štrige,Ulica Antuna Gustava Matoša 4,Križevci,tajnistvo@ss-glazbena-astrige-kc.skole.hr,048/711-274,Koprivničko-križevačka županija ,48260
"Dječji vrtić ""Bjelovar""",Trg Antuna Gustava M,Bjelovar,djecji.vrtic.bjelovar@bj.t-com.hr,043/246-800,Bjelovarsko-bilogorska županija ,43000
"Dječji vrtić ""Balončić""",Svetvinčenat 98 a,Svetvinčenat,dvbaloncic@gmail.com,052 560 355,Istarska županija ,52341
"Dječji vrtić ""Medulin""",Munida 3A,Medulin,info@dvmedulin.hr,052/576-760,Istarska županija ,52100
"Dječji vrtić ""Vrtuljak Marčana""",Marčana 166A,Marčana,puvrtuljak@gmail.com,052/571-222,Istarska županija ,52207
"Dječji vrtić ""Tratinčica""",Barban 133,Barban,dvtratincicabarban@gmail.com,"052/567-497, 052/567-455",Istarska županija ,52207
Dječji vrtić Pula,Koparska 31a,Pula,ravnateljica@dvpula.hr; kadrovska-sluzba@dvpula.hr,052/542-416,Istarska županija ,52100
Dječji vrtić Neven Rovinj-Rovigno-Giardino dinfanzia Neven Rovinj-Rovigno,Ulica Fontera 31,Rovinj,informacije@dv-neven.hr,052/811-217,Istarska županija ,52210
"Talijanski dječji vrtić - Giardino d'infanzia italiano ""Naridola"" Rovinj - Rovigno",Omladinska 20,Rovinj,dv-gi-naridola@pu.htnet.hr,052/830-138,Istarska županija ,52210
"Dječji vrtić i jaslice ""Duga"" Umag",Labinska ulica 3,Umag,dvj-duga@pu.t-com.hr,052/741-718,Istarska županija ,52470
"Dječji vrtić ""Buje""",Matije Gupca 13,Buje,"dv.buje@pu.t-com.hr, djecjivrticbuje1@gmail.com",052/556721,Istarska županija ,52460
"Dječji vrtić ""Kalimero""",Dudova 24 a,Brtonigla,info@vrtic-kalimero.hr,052/774-369,Istarska županija ,52474
"Dječji vrtići ""Petar Pan"" Vodnjan - Scuole dell'infanzia ""Petar Pan"" Dignano",San Rocco 17,Vodnjan,djecji.vrtici.petar.pan.vodnjan@pu.t-com.hr,052/511-364,Istarska županija ,52100
"Dječji vrtić ""Sunce""",PULJSKA CESTA 7,Fažana,ravnateljica@dvsuncefazana.hr; tajnik@dvsuncefazana.hr; djecji.vrtic.sunce1@pu.t-com.hr,"052 521-123, 052 520-897",Istarska županija ,52100
Program predškolskog odgoja pri OŠ Milan Šorgo,Matka Laginje 25,Oprtalj,ured@os-msorga-oprtalj.skole.hr,052/644-010,Istarska županija ,52460
"Talijanski dječji vrtić ""Mrvica""",Matije Gupca 13,Buje,talijanski.d.v.fregola@pu.t-com.hr,052/773-161,Istarska županija ,52460
Talijanski dječji vrtić Vrtuljak Umag - Scuola materna italiana Girotondo Umago,Školska 12,Umag,vrtuljak@pu.t-com.hr,052/721-770,Istarska županija ,52470
"Dječji vrtić ""Crvenkapica""",Petra Preradovića 4,Poreč - Parenzo, vrtic@dvcrvenkapica.hr,052/434 447 (431-324),Istarska županija ,52440
"Dječji vrtić ""Bambi""",J. Crnobori 82,Pula,bambi.pula@gmail.com,098/ 214 877,Istarska županija ,52100
"Dječji vrtić ""Topolino""",Županska 16,Pula,info@topolino.hr,091 510 22 10,Istarska županija ,52100
"Dječji vrtić ""Slano""",Trg R. Boškovića 1,Slano,djecji.vrtic.slano@du.t-com.hr,020/871-023,Dubrovačko-neretvanska županija ,20232
"Dječji vrtić ""Šiljo""",Prilaz Puljskih špan,Pula,siljo-vrtic0503@net.hr,091-1109-110,Istarska županija ,52100
"Dječji vrtić ""Pinokio""",Loborika 45,Marčana,dvpinokio1@gmail.com,052/550-265,Istarska županija ,52207
"Dječji vrtić ""Silvestro""",IVANČIĆEVA 19,Pula,info@dvtitti.hr,098435075,Istarska županija ,52100
"Dječji vrtić ""Oblutak""",Monte Magno 13,Pula,suzana.matosevic@pu.t-com.hr,052/507-028,Istarska županija ,52100
"Dječji vrtić ""Vjeverica""",Orbanin 77,Pula,svetlana.gotovina@gmail.com,095 3053079,Istarska županija ,52100
"Dječji vrtić ""Cipelići""",Nazorova 33,Pula,dvcipelici@gmail.com,  098 874521,Istarska županija ,52100
"Dječji vrtići ""Dado""","Štinjan, Kalčeva 11",Pula,snjezana@dvdado.hr,"052/517-181, 098-224-464",Istarska županija ,52100
Program predškolskog odgoja pri Dnevnom centru za rehabilitaciju Veruda - Pula,Vidikovac 7,Pula,info.dczr@gmail.com,052/223-594,Istarska županija ,52100
"Dječji vrtić ""Maslačak""",Vernalska 12,Pula,maslacak@difusione.hr,052/535-615,Istarska županija ,52100
"Dječji vrtić ""Sunčica""","Banjole, Kamik 18",Medulin,taljat.nena@gmail.com,095 8142428,Istarska županija ,52100
"Dječji vrtić ""Dobrilići""",Mutilska 25,Pula,beticv@gmail.com,095/ 5607708,Istarska županija ,52100
"Dječji vrtić ""101 Dalmatinac""","Nova Vas, Antonci 35",Poreč - Parenzo,101dalmatinac@windowslive.com,052/ 451 087,Istarska županija ,52440
"Dječji vrtić ""Pingvin""",Osječka10,Pula,sibil.isic@pu.t-com.hr,099/351-5099 ; 052/823-830,Istarska županija ,52100
"Dječji vrtić ""Titti""",Drenovica 18,Pula,info@dvtitti.hr,052/ 507 121,Istarska županija ,52100
"Dječji vrtić ""Moj dan - My Day""",Medulinska 29a,Pula,irismyday@gmail.com; monvidal@pu.t-com.hr,052/823-904,Istarska županija ,52100
DJEČJI VRTIĆI DUBROVNIK,Iva Vojnovića 34,Dubrovnik,ravnateljica@vrtici-du.hr;palcica-vrtic@du.htnet.hr,020/332400,Dubrovačko-neretvanska županija ,20000
"Dječji vrtić ""Župa dubrovačka""",Vukovarska 48,Mlini,vrtic.zupa@gmail.com,020/ 485-029,Dubrovačko-neretvanska županija ,20207
"Dječji vrtić ""Konavle""",Put od Cavtata bb,Cavtat,ravnateljica@vrticikonavle.hr,020 478 436,Dubrovačko-neretvanska županija ,20207
"Dječji vrtić ""Radost""",Ulica 27 broj 17,Vela Luka,radost@velaluka.hr,020/812-233,Dubrovačko-neretvanska županija ,20270
"Dječji vrtić ""Korčula""",Pelavin mir bb,Korčula,djecjivrtickorcula@gmail.com,020/711 631,Dubrovačko-neretvanska županija ,20260
Dječji vrtić Blato,1. ulica 23,Blato,dv.blato@du.t-com.hr,020/851-991,Dubrovačko-neretvanska županija ,20271
"Dječji vrtić ""Orebić""",Ul. Bana Josipa Jelačića 8,Orebić,djecji-vrtic-orebic@du.t-com.hr; sandamili@gmail.com,020/713-132,Dubrovačko-neretvanska županija ,20250
"Dječji vrtić ""Ploče""",Trg bana Josipa Jelačića 10,Ploče,djecji.vrtic.ploce@gmail.com,"020/415-217, 020/679-175",Dubrovačko-neretvanska županija ,20340
"Dječji vrtić ""Metković""",Kralja Zvonimira 22,Metković,dvmetkovic@gmail.com,020/ 681-515,Dubrovačko-neretvanska županija ,20350
"DV ""Opuzen""",Zagrebačka 3/I,Opuzen,djecji.vrtic.opuzen@gmail.com,020/671-260,Dubrovačko-neretvanska županija ,20355
"DV ""Ston""",Put braće Mihanovića 4,Ston,vrticston@gmail.com,020/754-644,Dubrovačko-neretvanska županija ,20230
"Dječji vrtić ""Leut""",Dubrovačka 20/3,Metković,nada.pazin3@gmail.com,091/3682782,Dubrovačko-neretvanska županija ,20350
"Dječji vrtić ""Bambi""",Smokvica bb,Smokvica,tami10@net.hr,020/831014,Dubrovačko-neretvanska županija ,20271
"Dječji vrtić ""Petar Pan""",Iva Vojnovića 73,Dubrovnik,ivanaucovic@yahoo.com,020/427-743,Dubrovačko-neretvanska županija ,20000
"Dječji vrtić ""Bubamara""",Kralja Tomislava 7,Dubrovnik, vrtic.bubamara.dubrovnik@gmail.com,020/611879,Dubrovačko-neretvanska županija ,20000
"Dječji vrtić ""Fijolica""",Trg kralja Tomislava 2,Prelog,dv-fijolica@ck.t-com.hr,040/645-601,Međimurska županija ,40323
"Dječji vrtić ""Kotoriba""",Ignaca Svetomartinskog 1,Kotoriba,djecjivrtickotoriba@gmail.com; snjezana.keler@kotoriba.hr,040 682-038,Međimurska županija ,40320
"Dječji vrtić ""Zvončić""",Uska 16b,Nedelišće,zvoncicvrtic@gmail.com,040/821-801,Međimurska županija ,40000
"Dječji vrtić ""Kockavica""",Andrije Habuša 29b,Sveta Marija,vrtickockavica@gmail.com,040/660-568,Međimurska županija ,40320
"Dječji vrtić ""Belica""",Dr. Ljudevita Gaja 21a,Belica,vrtic.belica@gmail.com,040/845-040,Međimurska županija ,40000
"Dječji vrtić ""Maslačak""",Ulica Slatine 2,Mursko Središće,maslacak@mursko-sredisce.hr,"040/343 064, 098/1814215",Međimurska županija ,40315
"Dječji vrtić ""Klinčec""",Krbulja 21a ,Donja Dubrava,djecji.vrtic.donja.dubrava@ck.t-com.hr,040/688-202,Međimurska županija ,40320
"Dječji vrtić ""Ftiček""",Čakovečka 7/1,Donji Kraljevec,djecji.vrtic.fticek@gmail.com,040/655-045,Međimurska županija ,40320
"Dječji vrtić ""Vrapčić""",Josipa Bedekovića 11,Šenkovec,"info@dv-vrapcic.hr, ravnatelj@dv-vrapcic.hr",040/343-770,Međimurska županija ,40000
"Dječji vrtić ""Dječja mašta""",France Prešerna 32,Čakovec,dv.djecja.masta@gmail.com,"040/395-655, ",Međimurska županija ,40000
"Dječji vrtić ""Jelenko""",Ul. Vladimira Nazora 4,Domašinec,djvjelenko@email.t-com.hr,040/863-061,Međimurska županija ,40000
"Dječji vrtić ""Loptica""",Ulica Tina Ujevića 2,Čakovec,djecji.vrtic.loptica@gmail.com,040/384-066,Međimurska županija ,40000
"Dječji vrtić ""Žibeki""",VINKA ŽGANCA 27,Čakovec,djecji.vrtic.zibeki@ck.t-com.hr,040/364-178,Međimurska županija ,40000
"Dječji vrtić ""Srčeko""",Dr. V.Žganca 1,Vratišinec,lisjak.isabela@gmail.com,0915894031,Međimurska županija ,40315
"Dječji vrtić ""Smješko""",Dunajska 2,Sveti Martin na Muri,"lisjak.isabela@gmail.com, vrtic.smjesko@gmail.com","040/868-221, 091 791 4796",Međimurska županija ,40313
"Dječji vrtić ""Ribica""",Žabnička 42,Sveti Martin na Muri,dv-ribica@net.hr,040/868-236,Međimurska županija ,40313
Program predškole pri OŠ dr. Ivana Novaka,Glavna 32,Macinec,pedagog@os-macinec.t-com.hr; ured@os-inovaka-macinec.skole.hr ,040/858-482,Međimurska županija ,40000
Program predškole pri OŠ Orehovica,Školska ulica 2,Orehovica,ured@os-orehovica.skole.hr,040/635 020,Međimurska županija ,40000
Program predškole pri OŠ Vladimira Nazora,Braće Radića 2/b,Pribislavec,ured@os-vnazor-pribislavec.skole.hr,040/360-870,Međimurska županija ,40000
Program predškole pri OŠ Tomaša Goričanca,Glavna 55,Mala Subotica,ured@os-mala-subotica.skole.hr,040/631-620,Međimurska županija ,40000
Program predškole pri OŠ Kotoriba,I. Svetomartinskog 1,Kotoriba,os-kotoriba@ck.t-com.hr,040/682-124,Međimurska županija ,40320
"Dječji vrtić ""Budućnost""",Mihanovićeva 30/2,Zagreb,vrtic-buducnost@zagreb.hr  ,01/4856-713,Grad Zagreb,10000
"Dječji vrtić ""Izvor""",Prilaz Gjure Deželića 30,Zagreb,vrtic.izvor@zagreb.hr,01/4846 - 062,Grad Zagreb,10000
"Dječji vrtić ""Različak""",Wellerov vrt 1 (bivša Petrinjska 31/2),Zagreb,vrtic.razlicak@zagreb.hr,01/4873-283,Grad Zagreb,10000
Dječji vrtić Tatjane Marinić,Mihovila Pavlinovića 8,Zagreb,vrtic.tatjanemarinic@zagreb.hr,01/3760-133,Grad Zagreb,10000
"Dječji vrtić ""Kustošija""",Ul.Stjepana Pasanca 5,Zagreb,vrtic.kustosija@zagreb.hr,"01/3860-694,01/3860-695",Grad Zagreb,10000
"Dječji vrtić ""Krijesnice""",Krajiška 7a,Zagreb,vrtic.krijesnice@zagreb.hr,01/3777417,Grad Zagreb,10000
"Dječji vrtić ""Petar Pan""",Španovićeva 18,Zagreb,vrtic.petarpan@zagreb.hr,01/3750 330,Grad Zagreb,10000
"Dječji vrtić ""Šumska jagoda""",Sveti Duh 75,Zagreb,vrtic.sumskajagoda@zagreb.hr,01/3700-732,Grad Zagreb,10000
Dječji vrtić Ivane Brlić Mažuranić,Cerska 22,Zagreb,vrtic-ivanebrlicmazuranic@zagreb.hr,01/2910 519,Grad Zagreb,10000
"Dječji vrtić ""Jabuka""",Resnički put 88,Zagreb,vrtic.jabuka@zagreb.hr,01/2995-312,Grad Zagreb,10000
"Dječji vrtić ""Kućica od licitra""",Mutvoranska 2,Pula,dvlicitar@gmail.com,052/ 501 726,Istarska županija ,52100
"Dječji vrtić ""Kolibri""",Ruščenica 19,Zagreb,vrtic-kolibri@zagreb.hr ,01/ 2985-400,Grad Zagreb,10000
"Dječji vrtić ""Pčelica""",Josipa Hamma 2,Zagreb,vrtic.pcelica@zagreb.hr,01/2990-506,Grad Zagreb,10000
"Dječji vrtić ""Poletarac""",Vile Velebita 18,Zagreb,vrtic-poletarac@zagreb.hr,"01/2857-772, 01/2857-324",Grad Zagreb,10000
"Dječji vrtić ""Sunce""",III. Poljanice 2,Zagreb,vrtic.sunce@zagreb.hr,01/2922-355,Grad Zagreb,10000
"Dječji vrtić ""Bukovac""",Trnac 67,Zagreb,ravnateljica@vrtic-bukovac.hr; vrtic-bukovac@zagreb.hr,01/2341-131,Grad Zagreb,10000
"DV ""Markuševec""",Štefanovec 172,Zagreb,vrtic.markusevec@zagreb.hr,01/4574-793,Grad Zagreb,10000
"Dječji vrtić ""Maksimir""",Al. Antuna Augustinč,Zagreb,vrtic.maksimir@zagreb.hr,01/2314-976,Grad Zagreb,10000
"Dječji vrtić ""Mali Princ""",Laščinska 17,Zagreb,mprinc@vrtic-maliprinc.hr,01/2431-460,Grad Zagreb,10000
"Dječji vrtić ""Trnoružica""",Rusanova 11,Zagreb,vrtic.trnoruzica@zagreb.hr,01/2312-524,Grad Zagreb,10000
"Dječji vrtić ""Medveščak""",Voćarska 69,Zagreb,vrtic.medvescak@zagreb.hr,01/4616-247,Grad Zagreb,10000
"Dječji vrtić ""Vedri dani""",Ulica Milana Makanca 11a,Zagreb,vrtic.vedridani@zagreb.hr,01/4650-350,Grad Zagreb,10000
"Dječji vrtić ""Vjeverica""",Ksaverska cesta 14,Zagreb,vrtic.vjeverica@zagreb.hr,01/4673-289,Grad Zagreb,10000
"Dječji vrtić ""Hrvatski Leskovac""",Potočna 9,Hrvatski Leskovac,vrtic.hrvatskileskovac@zagreb.hr,"01/6578-945, 6578-039",Grad Zagreb,10257
"Dječji vrtić ""Remetinec""",Lanište 1d,Zagreb,vrtic.remetinec@zagreb.hr,01/6594 420,Grad Zagreb,10000
"Dječji vrtić ""Siget""",Siget 12,Zagreb,Vrtic.siget@zagreb.hr,01/6521-121,Grad Zagreb,10000
"Dječji vrtić ""Sopot""",Viktora Kovačića 18c,Zagreb,vrtic.sopot@zagreb.hr,01/6679-367,Grad Zagreb,10000
"Dječji vrtić ""Tratinčica""",Ul. sv. Mateja 131,Zagreb,vrtic.tratincica@zagreb.hr,01/6600-557,Grad Zagreb,10000
"Dječji vrtić ""Travno""", Božidara Magovca 10,Zagreb,vrtic.travno@zagreb.hr,01/6601-164,Grad Zagreb,10000
Dječji vrtić Trnsko,Trnsko 19 ,Zagreb,vrtic.trnsko@zagreb.hr,01/6524-076,Grad Zagreb,10000
"Dječji vrtić ""Utrina""",Maretićeva 2,Zagreb,vrtic.utrina@zagreb.hr,"01/6687-167, 6685-542,",Grad Zagreb,10000
"Dječji vrtić ""Cvrčak""",Turopoljska 29,Zagreb,vrtic.cvrcak@zagreb.hr,01/2303-402,Grad Zagreb,10000
"Dječji vrtić ""Špansko""",Špansko 11,Zagreb,vrtic@dv-spansko.hr,01 3897 022,Grad Zagreb,10000
"Dječji vrtić ""Duga""",I. Ferenščica 90,Zagreb,vrtic-duga@zagreb.hr,01/2451-786,Grad Zagreb,10000
"Dječji vrtić ""Zrno""",Nede Krmpotić 5,Zagreb,vrtic-zrno@zagreb.hr,01/2407-351,Grad Zagreb,10000
"Dječji vrtić ""Milana Sachsa""",Ul. Milana Sachsa 5,Zagreb,vrtic.milanasachsa@zagreb.hr,01/6144-891,Grad Zagreb,10000
"Dječji vrtić ""Leptir""",Ivana Gorana Kovačića 20,Sesvete,vrtic.leptir@zagreb.hr,01/2002-321,Grad Zagreb,10360
Dječji vrtić Sesvete,Ive Tijardovića 9,Sesvete,vrtic.sesvete@zagreb.hr,01/2022-720,Grad Zagreb,10360
"Dječji vrtić ""Gajnice""",Hrvatskih iseljenika,Zagreb,vrtic.gajnice@zagreb.hr,01/3455-008,Grad Zagreb,10000
"Dječji vrtić ""Malešnica""",Ante Topić Mimare 34,Zagreb,vrtic.malesnica@zagreb.hr; tajnik@dv-malesnica.hr; ravnatelj@dv-malesnica.hr,01/3730-266,Grad Zagreb,10000
"DV ""Vrapče""",Nikole Gorjanskog 7,Zagreb,vrtic-vrapce@zagreb.hr,01/3450 038,Grad Zagreb,10000
"Dječji vrtić ""Bajka""",Zorkovačka 8,Zagreb,vrtic.bajka@zagreb.hr; ravnatelj@vrtic-bajka.hr,01/3692062; 3027322,Grad Zagreb,10000
"Dječji vrtić ""Grigora Viteza""",Ratarska 5,Zagreb,vrtic-grigoraviteza@zagreb.hr,01/3860933,Grad Zagreb,10000
"Dječji vrtić ""Jarun""",Bartolići 39A,Zagreb,vrtic.jarun@zagreb.hr,01/3659-800,Grad Zagreb,10000
"Dječji vrtić ""Matije Gupca""",Braće Cvijića 18,Zagreb,vrtic-matijegupca@zagreb.hr,"01/3836-469, 3836-470",Grad Zagreb,10000
"Dječji vrtić ""Srednjaci""",Ulica Vladimira Filakovca 2,Zagreb,vrtic.srednjaci@zagreb.hr,01/38-42-119,Grad Zagreb,10000
"Dječji vrtić ""Potočnica""",Ul. Grada Vukovara 1,Zagreb,vrtic.potocnica@zagreb.hr,01/3096-439,Grad Zagreb,10000
"Dječji vrtić ""Prečko""",Marijane Radev 1,Zagreb,vrtic-precko@vrtic-precko.hr  ,01/3882 207,Grad Zagreb,10000
"Dječji vrtić ""Trešnjevka""",Badalićeva 24,Zagreb,vrtic.tresnjevka@zagreb.hr,01/3820-247,Grad Zagreb,10000
Dječji vrtić Zvončić,Hanamanova 3a,Zagreb,vrtic.zvoncic@zagreb.hr,"01/3077290, 3077502, 3079611",Grad Zagreb,10000
"Dječji vrtić ""Iskrica""",Kruge 3,Zagreb,vrtic-iskrica@zagreb.hr,01/615-69-55,Grad Zagreb,10000
"Dječji vrtić ""Savica""",Ul. Vladimira Ruždja,Zagreb,vrtic.savica@zagreb.hr ,01/6151-327,Grad Zagreb,10000
"Dječji vrtić ""Vladimira Nazora""",Rapska bb,Zagreb,vrtic.vladimiranazora@zagreb.hr,01/6180-280; 01/6180-279,Grad Zagreb,10000
"Dječji vrtić ""Runović""",Runović bb,Runović,djecjivrticrunovic@gmail.com,021/849-701,Splitsko-dalmatinska županija ,21260
"Dječji vrtić ""Vrbik""",Šetalište Jurija Gagarina 10,Zagreb,vrtic-vrbik@zagreb.hr,"01/6199-540, 091/6199-540",Grad Zagreb,10000
"Dječji vrtić  ""Cvjetnjak""",Nova Ves 55/1,Zagreb,cvjetnjak@gmail.com,01/4668-321; 0994319560,Grad Zagreb,10000
"DV ""Marija Petković""",Mallinova 4,Zagreb,dv.marija.petkovic@zg.t-com.hr,01/46 36-796,Grad Zagreb,10000
"DV ""Svetog Vinka""",Frankopanska 17,Zagreb,dv.sv.vinka.pisarnica@gmail.com,"01/4831999, 099/4232381",Grad Zagreb,10000
"Dječji vrtić ""Svete Male Terezije""",Vrhovec 29,Zagreb,piskovick@gmail.com,01/6578848,Grad Zagreb,10000
"Dječji vrtić ""Svetog Josipa""",Granešina 7,Zagreb,svetijosip2016@gmail.com,01/2929-144,Grad Zagreb,10000
"Dječji vrtić ""Jordanovac""",Jordanovac 55,Zagreb,jordanovac.pisarnica@gmail.com,01/2339-388,Grad Zagreb,10000
"Dječji vrtić ""Svetog Franje""",V. Barutanski ograna,Zagreb,dvsfranje@gmail.com,01/236 58 53,Grad Zagreb,10000
"DV ""Vitica""",Ulica grada Vukovara,Zagreb,info@djecjivrticvitica.hr,01 6578 784,Grad Zagreb,10000
"DV ""Anđela Merici""",Vlaška 75,Zagreb,dv.sveta.angela.merici@gmail.com,091 600 9448,Grad Zagreb,10000
Dječji vrtić Krijesnica Jankovci,Naselje Ruđera Boško,Stari Jankovci,krijesnica.jankovci@gmail.com,032/540281,Vukovarsko-srijemska  županija ,32241
Dječji vrtić Blažena Hozana,Trg kardinala Franje Šepera 2,Zagreb,vrtic.blazena.hozana@zg.t-com.hr,01/6129-283,Grad Zagreb,10000
"DV ""Mirjam Weiller""",Ulica Junija Palmotića 16,Zagreb,vrtic.mirjamw@gmail.com,01/4862 750,Grad Zagreb,10000
"Dječji vrtić ""Montessori""",Šipkovica 57,Zagreb,vrtic@dv-montessori.hr ,099 3358 167,Grad Zagreb,10000
"DV ""Srčeko""",Pantovčak 115,Zagreb,sandra.pokos@zg.t-com.hr,01/48 35 351,Grad Zagreb,10000
Kraći program predškolskog odgoja pri Knjižnici Medveščak,Trg žrtava fašizma 7,Zagreb,knjiznica.medvescak@kgz.hr,014611480,Grad Zagreb,10000
"DV ""Čigra""",Josipa Marohnića 3,Zagreb,cigra@cigravrtic.hr,01/ 555 96 80,Grad Zagreb,10000
"Dječji vrtić ""Dječja igra""",Aleja Blaža Jurišića 9,Zagreb,info@djecja-igra.hr,"01/2915 334, 091/39 15 334",Grad Zagreb,10000
Dječji vrtić Zvjezdica,Petrova 119,Zagreb,kindergarten@cas.hr; kindergartenlittlestar@gmail.com,098/320336; 2422-343,Grad Zagreb,10000
"DV ""Čupko""",Rudeška cesta 150,Zagreb,info@vrtic-cupko.hr,091/3872-378,Grad Zagreb,10000
"Dječji vrtić ""Zvončica""",Trg Lovre Matačića 9,Sesvete,djecji.vrtic.zvoncica@zg.t-com.hr,01/2001-516,Grad Zagreb,10360
